GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
1135/308-8;BBR, Graben-Neudorf;12.09.2014 09:45;572;823;7.25;;;;11.6;;24.1;0.08;;133;45.8;;;;22.3;7.3;;6.12;;124;4.31;;4.4
1135/308-8;BBR, Graben-Neudorf;16.09.2015 12:10;;798;;2.4;25.1;;;;23.6;;;127;42;;;;24.1;;;5.9;;116;4.14;;5.38
1135/308-8;BBR, Graben-Neudorf;16.11.2015 11:00;539;760;7.33;;;;12.2;0.13;24.4;;;131.4;42;1.4;0.503;0.06;21.1;10.4;;6.1;;114;4.28;;4.4
1135/308-8;BBR, Graben-Neudorf;18.03.2016 10:15;600;793;7.3;1;9;;11.6;;;;;;;;;;;13.2;;;;;;;
1135/308-8;BBR, Graben-Neudorf;12.09.2016 10:30;;818;7.2;1.8;17;;12.6;;24.7;0.055;;132;39;;;;20.7;12;;6;;117;4.31;;4.82
1135/308-8;BBR, Graben-Neudorf;02.03.2017 07:00;539;806;7.3;1.4;13;;11.5;;;;0.01;;;;;;;11;;;;;;;
1135/308-8;BBR, Graben-Neudorf;25.09.2017 11:15;550;797;7.32;;;;11.9;;;;;;;;;;;8.7;;;;;;;
1135/308-8;BBR, Graben-Neudorf;07.03.2018 11:11;491;784;7.23;;;;12;;;;;;;;;;;14.5;;;;;;;
1135/308-8;BBR, Graben-Neudorf;03.09.2018 11:10;532;782;7.24;0.6;5.6;;12.3;;;;;;;;;;;11.3;;;;;;;
1135/308-8;BBR, Graben-Neudorf;06.12.2018 11:00;551;759;7.26;0.5;5;;12.1;0.13;23.9;;;130.6;39.1;1.6;0.365;0.09;18.6;10.9;;6;;114;4.24;;4.2
1135/308-8;BBR, Graben-Neudorf;07.03.2019 11:30;540;823;7.32;;;;12.3;;;;;;;;;;;;;;;;;;
1135/308-8;BBR, Graben-Neudorf;17.09.2019 10:55;555;800;7.2;1.5;14;;12.6;;;;0.15;;;;;;;14.8;;;;;;;
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;12.10.2006 14:35;442;820;7.12;0.1;0.1;;14;;;;0.05;;;;;;;;;;;;;;
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;03.09.2008 12:50;435;826;7.2;;;;13.9;;18.6;0.18;0.05;138;50.1;;;;24.7;0.8;0.14;4.57;;188;4.21;;3.5
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;11.02.2009 16:45;460;825;7.03;0.1;0.1;;13.4;0.18;19.2;;0.07;145.5;50.1;1.6;5;0.33;24;;0.089;4.6;;192;4.42;;3.8
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;08.09.2011 14:09;395;838;7.18;0.2;2;;13.7;;20;0.04;0.06;144;55.9;;;;33;1.2;0.14;5.35;;167;4.42;;4.6
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;23.07.2012 14:30;419;903;7.3;;;;13.9;0.18;19.1;;0.09;143.2;65.3;1.9;4;0.34;36;1.3;;5.5;;167;4.36;;4.7
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;10.09.2013 12:05;375;900;7.22;;;;14.1;;20;;0.05;149;72;;;;35;1;;5.28;;170;4.6;;4.7
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;06.11.2014 10:50;387;820;7.19;;;;14.5;0.16;18.5;;0.05;132.3;67.8;1.8;3;0.28;32.9;0.7;;4.5;;167;4.06;;4.3
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;14.09.2016 08:40;408;846;7.2;;1;;14.5;;;;0.04;;;;;;;1.2;;;;;;;
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;25.09.2018 10:44;440;755;7.32;0.3;3;;14.6;;17.1;0.107;0.08;125;66.7;;;;34.4;0.9;;3.75;;181;3.82;;4.1
0060/308-4;BBR Hauptstraße, Ubstadt-Weiher;05.12.2018 13:00;450;775;7.32;0.5;5;;14.5;0.18;16.6;;0.05;121.2;63.7;1.8;3;0.26;36.3;1.2;;4;;167;3.71;;4.5
0213/308-3;BBR I, Karlsdorf;16.01.2006 13:45;;1.112;6.76;2.9;28;;12.6;;;;;;;;;;;62.8;;;;;;;
0213/308-3;BBR I, Karlsdorf;13.03.2006 14:20;;1.16;6.97;2.7;25;;11.8;;;;0.01;;;;;;;64.1;;;;;;;
0213/308-3;BBR I, Karlsdorf;08.05.2006 13:05;;1.1;7.03;2.2;21;;12.7;;;;;;;;;;;58.1;;;;;;;
0213/308-3;BBR I, Karlsdorf;17.07.2006 13:30;;1.12;7;2.5;24;;13.4;;;;;;;;;;;55.8;;;;;;;
0213/308-3;BBR I, Karlsdorf;06.09.2006 08:25;;1.125;6.98;1.7;17;;13.8;;;;;;;;;;;58;;;;;;;
0213/308-3;BBR I, Karlsdorf;03.11.2006 11:00;;1.135;7;3.5;33;;12.3;;;;;;;;;;;59.5;;;;;;;
0213/308-3;BBR I, Karlsdorf;22.03.2007 11:10;;1.1;7.01;2.1;20;;12.8;;;;;;;;;;;59.5;;;;;;;
0213/308-3;BBR I, Karlsdorf;03.08.2007 11:10;;1.12;7;1.9;19;;14;;;;;;;;;;;;;;;;;;
0213/308-3;BBR I, Karlsdorf;11.09.2007 10:00;;1.095;7.03;2.3;23;;13.8;;28.3;;;187;54.5;;;;36.5;55.2;;7.25;;201;5.83;;3.75
0213/308-3;BBR I, Karlsdorf;03.03.2008 08:40;;1.096;6.95;2.7;26;;12.9;;;;;;;;;;;59.6;;;;;;;
0213/308-3;BBR I, Karlsdorf;18.09.2008 10:45;;1.08;7.05;2.4;22;;13.2;;29.3;;0.01;203;51.9;;;;34.7;59.6;0.01;7.3;;183;6.28;;3.88
0213/308-3;BBR I, Karlsdorf;09.10.2008 14:30;;1.118;7.03;2.5;24;;13.9;0.12;28.3;;0.01;170;51;1.11;0.01;;35.9;59.2;0.01;7.34;;186;5.39;0.13;3.4
0213/308-3;BBR I, Karlsdorf;13.03.2009 14:50;;1.123;6.95;2.5;25.8;;12.7;;;;0.01;;;;;;;56.8;;;;;;;
0213/308-3;BBR I, Karlsdorf;23.09.2009 12:45;;1.063;7.15;2.3;21;;13;;33.6;;;182;47.3;;;;26.6;49.2;;7.1;;190;5.92;;4.4
0213/308-3;BBR I, Karlsdorf;27.10.2009 15:20;;1.119;7.01;2.2;21;;13.6;;;;;;;;;;;;;;;;;;
0213/308-3;BBR I, Karlsdorf;23.02.2010 11:40;;1.112;7.1;4.2;40;;11.1;0.13;30.7;;0.04;207.2;46;1.1;;;30;53.1;0.007;7.4;;232;6.43;1.52;2.5
0213/308-3;BBR I, Karlsdorf;23.09.2010 12:35;;1.035;6.97;2.5;24;;12.9;;20.5;0.056;0.01;196.5;42.5;;;;34.1;57.8;0.034;7;;215.6;5.75;;3.87
0213/308-3;BBR I, Karlsdorf;02.03.2011 15:45;;1.008;7.07;4.9;43;;9.1;;;;0.02;;;;;;;48.7;;;;;;;
0213/308-3;BBR I, Karlsdorf;07.09.2011 11:02;;1.062;6.99;2.3;22.4;;13;;28.1;0.03;;192;47.9;;;;35.4;54;0.01;7.12;;205;5.95;;4.4
0213/308-3;BBR I, Karlsdorf;07.03.2012 09:50;;1.12;7.06;5.3;48;;11;;29.6;;;197;48.3;;;;33.6;56.9;;7.4;;218.3;6.13;;2.9
0213/308-3;BBR I, Karlsdorf;18.09.2012 11:30;;1.021;7.06;2.5;24.7;;13.6;;31;;;194;45;;;;34;57;;7.62;;213;6.12;;3.7
0213/308-3;BBR I, Karlsdorf;14.03.2013 11:30;;1.099;7.05;2.7;26;;10.8;;;;;;;;;;;51.5;;;;;;;
0213/308-3;BBR I, Karlsdorf;11.09.2013 09:20;;1.118;7.01;2;20;;14.6;;31;;;201;41;;;;34;52.1;;7.29;;235;6.3;;3.4
0213/308-3;BBR I, Karlsdorf;26.03.2014 10:40;;1.012;7.14;4.1;39.8;;12.8;;25.8;;;182;44;;;;34;59.9;;6.93;;186;5.6;;4.1
0213/308-3;BBR I, Karlsdorf;21.07.2014 14:00;;1.072;7;2.5;25;;13.8;0.09;29.2;;;197.4;45.9;1.4;0.011;;36.2;63.7;;7.1;;203;6.13;;3.2
0213/308-3;BBR I, Karlsdorf;08.09.2014 09:25;;1.083;7;3.6;35;;13.3;;28.3;;;191.1;45.5;;;;33.5;60.9;;6.95;;200;5.93;;3.88
0213/308-3;BBR I, Karlsdorf;11.03.2015 10:35;;1.076;7.05;4.8;45;;13;;28.5;;;191;43.6;;;;33.9;64.5;;7.2;;218;5.94;;3.2
0213/308-3;BBR I, Karlsdorf;14.09.2015 09:00;;1.083;6.93;2.3;23;;13.9;;28.9;;;196;48.7;;;;33.6;54.7;;6.95;;217.1;6.08;;3.1
0213/308-3;BBR I, Karlsdorf;21.03.2016 13:45;;1.085;6.97;2.2;21;;13;;29.5;;;205;45.8;;;;34.4;63.8;;6.85;;219.6;6.33;;3.3
0213/308-3;BBR I, Karlsdorf;12.09.2016 08:20;;983;7.03;1.8;18;;13.3;;25.1;;;179;42.2;;;;29.4;60.5;;6.62;;;5.5;;4.41
0213/308-3;BBR I, Karlsdorf;14.03.2017 10:55;;1.096;7.01;2.6;24;;12.8;;;;;;;;;;;63.2;;;;;;;
0213/308-3;BBR I, Karlsdorf;14.09.2017 11:35;;1.1;7.08;2.8;28;;13.9;;;;;;;;;;;58;;;;;;;
0213/308-3;BBR I, Karlsdorf;20.03.2018 08:05;;1.09;6.86;2.4;22.1;;11.7;;;;;;;;;;;48.2;;;;;;;
0213/308-3;BBR I, Karlsdorf;06.09.2018 09:55;;984;7.06;2.4;23.5;;13.8;;;;;;;;;;;53.6;;;;;;;
0213/308-3;BBR I, Karlsdorf;22.11.2018 09:30;;959;7.07;3.2;30;;12.8;0.11;26.9;;;201.6;44.8;1.3;0.012;;31.7;56.1;;6.9;;193;6.14;;3.9
0213/308-3;BBR I, Karlsdorf;26.03.2019 09:20;;1.07;;4.2;39.8;;13.1;;;;;;;;;;;48.6;;;;;;;
0213/308-3;BBR I, Karlsdorf;16.09.2019 13:45;;1.04;7.04;2;19;;13.7;;;;0.02;;;;;;;55.5;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;11.01.2006 13:55;;579;7.2;1.5;13;;11;;;;;;;;;;;4.2;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;08.03.2006 13:25;;577;7.25;1.4;13;;11;;;;;;;;;;;5.1;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;03.05.2006 14:45;;572;7.27;1;9;;10.9;;;;;;;;;;;3.4;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.07.2006 13:35;;577;7.19;1.7;16;;10.9;;;;;;;;;;;5.3;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;14.09.2006 11:55;;568;7.27;0.6;5;;10.9;;;;;;;;;;;2.5;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;14.11.2006 13:50;;572;7.22;0.8;8;;11.2;;;;0.02;;;;;;;4.2;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;28.03.2007 10:44;;553;7.34;0.7;7;;11.2;;;;0.01;;;;;;;2.9;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;30.08.2007 10:30;;576;7.24;1.5;13.7;;11.4;;11.4;;;113;21.4;;;;12.1;9.4;0.003;4.48;;86.6;3.29;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;04.03.2008 14:45;;583;;;;;11.4;;;;0.04;;;;;;;8.7;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;10.09.2008 09:35;;555;7.37;0.9;8.4;;11.9;;11.1;;;104;21.4;;;;12.1;4.1;0.007;4.43;;87.3;3.05;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.03.2009 14:20;;582;7.37;1.7;16.7;;11.4;;;;;;;;;;;6.5;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;17.09.2009 15:00;;575;7.19;2;18.9;;11.6;0.07;11.9;;;108.8;21.4;0.7;0.104;0.04;12;7.5;0.006;4.5;;91;3.2;1.12;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;01.03.2010 09:14;;572;7.39;1.2;11.2;;10.8;;;;;;;;;;;3.1;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;22.09.2010 09:05;;546;7.29;0.4;4;;11.1;;11.9;;;107;21;;;;13;6.8;0.005;4.49;;85.5;3.16;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;10.03.2011 13:30;;568;7.28;2.3;21;;11.3;;;;;;;;;;;6.2;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;05.09.2011 09:40;;561;7.23;1.2;11.1;;11.2;;11.9;;;111;21.3;;;;12.2;7.1;0.007;4.5;;86.2;3.26;;1.6
0006/258-1;BBR I WV, Linkenheim-Hochstetten;07.03.2012 11:35;;564;7.3;1.2;11;;11.2;0.07;12.5;;;109.9;21.6;0.7;0.129;0.04;12.1;7.1;;4.5;;87;3.26;;1.6
0006/258-1;BBR I WV, Linkenheim-Hochstetten;07.09.2012 08:50;;588;7.33;1.4;13;;11.3;;12;;;110;21.7;;;;12;7.1;;;;90.7;3.24;;1.6
0006/258-1;BBR I WV, Linkenheim-Hochstetten;11.03.2013 11:35;;579;7.36;2.5;23;;10.5;;;;0.01;;;;;;;8.4;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;17.09.2013 08:15;;;7.33;1.1;10.1;;10.9;;11.9;;;108;21.1;;;;11.5;8.2;;4.52;;83.8;3.18;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;01.04.2014 10:50;;557;7.34;0.6;6;;11.3;;;;0.02;;;;;;;7.7;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;24.09.2014 09:30;;564;7.28;0.9;8.2;;11.1;;11.6;;;108;22.7;;;;11.8;6.4;;4.59;;83.7;3.17;;1.5
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.03.2015 10:30;;577;7.2;2;18;;11;;;;0.01;;;;;;;5.9;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;05.05.2015 10:00;;593;7.24;0.9;9;;11.4;0.06;12.8;;;110.3;23.2;0.7;;;11;7.8;;4.6;;82;3.28;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;16.09.2015 09:50;;560;7.22;1;9.2;;11.2;;12;;;109;23.5;;;;11.8;6.9;;4.65;;76.3;3.21;;1.5
0006/258-1;BBR I WV, Linkenheim-Hochstetten;03.03.2016 09:15;;579;7.23;1.1;10;;10.2;;;;;;;;;;;6.5;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;05.09.2016 11:00;;596;7.24;1.7;16;;11.6;;12;;;115;23;;;;11;6.9;;4.64;;85;3.4;;2
0006/258-1;BBR I WV, Linkenheim-Hochstetten;08.03.2017 08:40;;582;7.26;0.9;9;;11.2;;;;0.02;;;;;;;6.5;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;05.09.2017 13:50;;591;7.09;1.4;12.8;;11.7;;;;;;;;;;;6;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.03.2018 11:05;;610;7.15;1.1;11;;11.2;;;;;;;;;;;8.4;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.09.2018 10:10;;616;7.12;1.3;12;;11.2;;;;;;;;;;;8.4;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;27.11.2018 10:16;;589;7.21;1.1;10;;11.6;0.06;12.4;;;120.6;23.2;1;0.161;0.04;9.3;7.7;;4.6;;84;3.52;;1.4
0006/258-1;BBR I WV, Linkenheim-Hochstetten;12.03.2019 12:50;;598;7.2;1.3;12;;11.7;;;;;;;;;;;5.7;;;;;;;
0006/258-1;BBR I WV, Linkenheim-Hochstetten;17.09.2019 10:55;;582;7.21;;;;11.4;;;;0.01;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;12.10.2006 12:45;103;757;6.99;0.3;3;;15.3;;;;0.51;;;;;;;7.5;;;;;;;
1313/259-5;BBR, KA-Knielingen;17.01.2007 13:20;117;775;6.9;0.1;1;;12.3;;;;;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;14.08.2007 08:45;76;672;7.09;1.1;11;;14.7;0.09;8.8;0.07;0.14;124;37.7;1.47;0.06;0.05;26.8;6.3;0.025;5.22;;89.5;3.47;0.6;2.56
1313/259-5;BBR, KA-Knielingen;30.08.2007 08:40;100;736;7.08;;;;15;;;;0.06;;;;;;;10.1;;;;;;;
1313/259-5;BBR, KA-Knielingen;21.11.2007 14:40;99;738;7.17;0.2;2;;14.1;;;;;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;11.09.2008 15:10;112;626;7.1;0.4;4;;15.3;;8.9;0.03;0.05;110;34.9;;;;23.3;3.3;0.01;5.32;;54.5;3.11;;2.6
1313/259-5;BBR, KA-Knielingen;07.10.2008 11:20;135;655;7.12;0.2;2;;15.2;;;;;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;21.09.2009 09:45;128;652;7.07;0.5;5;;15.2;;8.9;0.276;0.54;110;45.6;2;0.015;0.04;33;2.4;;5.75;;34.1;3.11;;3.3
1313/259-5;BBR, KA-Knielingen;21.10.2009 08:25;136;667;7.1;;;;15.1;;;;;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;23.02.2010 12:00;109;821;7.12;0.5;5;;10.3;0.09;11.8;0.046;0.04;141.3;76.7;1.7;0.026;0.08;34;8.9;0.021;6;;73;4.01;1.32;3.1
1313/259-5;BBR, KA-Knielingen;21.09.2010 13:20;105;593;7.18;1.6;16;;15.9;;;;1.39;;;;;;;;;;;;;;
1313/259-5;BBR, KA-Knielingen;21.09.2011 13:35;140;859;7.03;1;10;;15.3;;;;1.35;;;;;;;15.5;;;;;;;
1313/259-5;BBR, KA-Knielingen;11.09.2012 15:00;128;792;7.03;0.7;7;;16.2;;;;0.09;;;;;;;13.3;;;;;;;
1313/259-5;BBR, KA-Knielingen;05.09.2013 10:25;95;762;6.92;1.1;11;;15.4;;;;2.28;;;;;;;8.4;;;;;;;
1313/259-5;BBR, KA-Knielingen;09.09.2014 08:30;90;839;7.22;1.1;11;;15.1;;;;0.04;;;;;;;9.6;;;;;;;
1313/259-5;BBR, KA-Knielingen;05.11.2014 16:53;110;893;7.16;;;;15.3;0.11;12.1;0.101;0.33;137.9;106.9;1.4;0.011;0.07;45.6;12.1;;5.2;;89;3.94;;4
1313/259-5;BBR, KA-Knielingen;09.09.2015 15:15;;924;7.17;2.8;28;;16.4;;;;;;;;;;;19;;;;;;;
1313/259-5;BBR, KA-Knielingen;13.09.2016 10:00;110;907;7.09;0.1;1;;15.3;;;;0.36;;;;;;;12.8;;;;;;;
1313/259-5;BBR, KA-Knielingen;26.09.2017 08:50;127;1.06;7.1;0.1;1;;15.7;;;;0.01;;;;;;;9;;;;;;;
1313/259-5;BBR, KA-Knielingen;06.09.2018 15:20;135;938;7.16;0.2;2;;16.4;;;;0.14;;;;;;;12.2;;;;;;;
1313/259-5;BBR, KA-Knielingen;14.11.2018 08:43;153;921;7.03;0.3;3;;15.8;0.12;12;0.077;0.05;144.1;131.4;1.3;;0.07;65.5;13.8;;4.9;;91;4.09;;5.3
1313/259-5;BBR, KA-Knielingen;12.09.2019 09:40;132;994;7.09;;;;16.1;;;;0.01;;;;;;;11.2;;;;;;;
0080/260-2;BBR, KA-Wolfartsweier;10.10.2006 10:00;408;946;6.97;6.3;58.5;;11.7;;;;;;;;;;;29.6;;;;;;;
0080/260-2;BBR, KA-Wolfartsweier;07.02.2007 15:30;;863;6.95;6.1;59;;12.4;0.09;20.7;0.05;;146;75.3;0.63;;;29.2;31.3;0.017;6.65;;48.7;4.5;0.11;1.07
0080/260-2;BBR, KA-Wolfartsweier;11.02.2009 15:40;;891;6.86;6.2;57;;11.8;0.11;20.7;0.04;;149.7;73;0.4;;;33;35;0.017;7.1;;48;4.59;0.65;1.2
0080/260-2;BBR, KA-Wolfartsweier;01.09.2009 07:55;;879;6.97;6.4;61;;12.2;;;;;;;;;;;27.5;;;;;;;
0080/260-2;BBR, KA-Wolfartsweier;15.09.2011 16:41;;814;7.01;6;59;;12.1;;20;0.04;;137;58.6;;;;33;36.9;0.01;7.25;;42;4.24;;1.2
0080/260-2;BBR, KA-Wolfartsweier;18.07.2012 15:45;;940;6.96;5.7;56;;13.2;0.12;19;0.052;;131.7;55.4;0.4;;;31.5;39.9;;7;;40;4.07;;1.2
0080/260-2;BBR, KA-Wolfartsweier;12.09.2013 10:01;;812;7.11;6.6;61.1;;11.9;;19.3;0.05;;135;50;;;;28.7;40.5;;6.88;;45.6;4.16;;1.2
0080/260-2;BBR, KA-Wolfartsweier;11.11.2014 11:37;;765;6.96;6;58;;12.7;0.1;18.8;0.043;;130.7;47.2;0.5;;;28.7;39;;6.8;;43;4.04;;1.2
0080/260-2;BBR, KA-Wolfartsweier;21.09.2016 15:20;;822;;;;;;;;;;;;;;;;35;;;;;;;
0080/260-2;BBR, KA-Wolfartsweier;04.09.2018 15:05;;814;7;6.2;60;;12.9;;19.5;0.038;;143;57.9;;;;27;35.4;;6.7;;48.9;4.37;;0.97
0080/260-2;BBR, KA-Wolfartsweier;12.11.2018 09:43;275;795;6.84;6.2;60;;13;0.11;19.8;0.046;;148.1;59.1;1;;;28.9;37.7;;6.6;;45;4.51;;1.2
5901/307-5;BBR neu 2014, Walldorf;17.03.2015 10:45;;1.54;6.94;2.1;19.7;;12.4;;;;;;;;;;;86.1;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;08.09.2015 15:47;;1.446;6.95;3.5;33;;13.2;;38;;;320;59;;;;27;100;;6.18;;430;9.49;;3.02
5901/307-5;BBR neu 2014, Walldorf;23.03.2016 09:27;;1.406;6.93;2.7;26;;12.4;;;;0.02;;;;;;;88;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;06.09.2016 09:20;;1.501;6.76;2.9;30;;16.2;;36;;;320;62;;;;27;89;;6.65;;480;9.46;;2.6
5901/307-5;BBR neu 2014, Walldorf;29.03.2017 14:15;;1.45;6.91;2.1;20;;13.1;;;;;;;;;;;86;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;06.09.2017 10:10;;1.5;7;2.5;24;;14.2;;;;;;;;;;;98;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;15.03.2018 08:15;;1.565;7.08;;;;11.2;;;;0.01;;;;;;;100;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;24.05.2018 09:45;;1.43;7.03;2.9;29;;14.3;;41.1;;;345;77.1;2.1;0.039;0.21;32.4;116.1;;6.5;;510;10.3;;2.4
5901/307-5;BBR neu 2014, Walldorf;30.08.2018 13:05;;1.576;6.97;2.8;29;;17.6;;;;0.02;;;;;;;110;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;11.03.2019 10:15;;1.579;6.8;1.7;16;;12.4;;;;;;;;;;;107;;;;;;;
5901/307-5;BBR neu 2014, Walldorf;04.09.2019 13:50;;1.492;6.96;2.3;23;;16.4;;;;;;;;;;;120;;;;;;;
0947/307-6;BBR, Neulußheim;04.09.2006 09:35;;693;7.34;2.1;20;;13;;;;;;;;;;;45;;;;;;;
0947/307-6;BBR, Neulußheim;19.03.2007 09:50;;;7.2;2.8;26;;11.8;;;;;;;;;;;43.9;;;;;;;
0947/307-6;BBR, Neulußheim;13.09.2007 09:15;;718;7.31;1.7;16;;14.1;;11.2;;;135;27.4;;;;10.3;47.4;0.012;4.25;;129;3.83;;1.65
0947/307-6;BBR, Neulußheim;06.03.2008 09:50;;709;7.47;3.6;35;;11.5;;;;0.01;;;;;;;42.3;;;;;;;
0947/307-6;BBR, Neulußheim;11.03.2009 13:30;;;7.49;3.4;32;;10.9;;;;0.02;;;;;;;40.7;;;;;;;
0947/307-6;BBR, Neulußheim;08.09.2009 09:00;;743;7.37;4.1;39.4;;13.5;0.1;15;;0.02;141.9;29.5;1;0.083;0.29;13;43.4;0.009;4.4;;135;4.16;0.32;2.2
0947/307-6;BBR, Neulußheim;24.02.2010 08:25;;712;7.33;5.2;49;;11.4;0.11;13.7;;;131.6;29.5;1.1;0.061;0.28;12;45.6;0.008;4.4;;132;3.85;0.43;2
0947/307-6;BBR, Neulußheim;20.09.2010 09:15;;718;7.33;2.1;20;;12.4;;14;;;137;25.3;;;;;44.4;0.007;4.32;;129;3.99;;1.98
0947/307-6;BBR, Neulußheim;28.03.2011 15:05;;740;7.27;5.4;51;;12.4;;;;0.01;;;;;;;46.5;;;;;;;
0947/307-6;BBR, Neulußheim;12.09.2011 10:50;;739;;2.6;25;;12.8;;12.9;;;137;29.9;;;;13;50.9;;;;140;3.95;;1.9
0947/307-6;BBR, Neulußheim;14.03.2012 09:30;;;7.79;1.2;12;;11.4;;;;;;;;;;;;;;;;;;
0947/307-6;BBR, Neulußheim;06.09.2012 09:10;;733;7.25;1.9;18;;12.9;;15.6;;0.01;147;30.5;;;;15.2;61;;4.38;;145;4.31;;1.91
0947/307-6;BBR, Neulußheim;26.03.2013 10:00;;;7.87;5.8;55;;9.9;;;;0.02;;;;;;;;;;;;;;
0947/307-6;BBR, Neulußheim;16.09.2013 13:15;;;;2.1;19.6;;12.4;;14.1;;;155;31.7;;;;15;64;;4.5;;133;4.45;;2.2
0947/307-6;BBR, Neulußheim;26.11.2013 08:45;;773;7.24;2.4;21;;11.7;0.09;14.1;;;140.2;31.3;1.2;0.016;0.18;13.4;61.6;;4.5;;137;4.08;;2.1
0947/307-6;BBR, Neulußheim;27.03.2014 10:15;;775;7.48;2.7;25;;12;;;;;;;;;;;63.6;;;;;;;
0947/307-6;BBR, Neulußheim;30.09.2014 08:20;;671;7.46;3.1;32;;;;15.4;0.02;;145;28;;;;13.8;56.1;;4.49;;134;4.25;;2.17
0947/307-6;BBR, Neulußheim;12.03.2015 10:45;;682;7.45;3.1;28.8;;12.2;;;;;;;;;;;59.9;;;;;;;
0947/307-6;BBR, Neulußheim;17.09.2015 13:50;;803;7.32;4.3;41;;13;;15.1;;;145;31;;;;14.5;64;;4.3;;139;4.24;;2
0947/307-6;BBR, Neulußheim;22.03.2016 09:24;;743;7.22;3.3;33;;12.4;;;;0.01;;;;;;;60;;;;;;;
0947/307-6;BBR, Neulußheim;13.09.2016 13:35;;686;7.33;2.2;22;;13.5;;15;;0.01;150;33;;;;16;61;;4.64;;150;4.36;;2.6
0947/307-6;BBR, Neulußheim;30.03.2017 08:10;;787;7.3;3.9;36.3;;12.8;;;;;;;;;;;68;;;;;;;
0947/307-6;BBR, Neulußheim;06.09.2017 07:15;;764;7.4;7;71;;14.9;;;;;;;;;;;63;;;;;;;
0947/307-6;BBR, Neulußheim;12.03.2018 09:45;;729;7.43;8.9;84;;12;;;;0.01;;;;;;;52;;;;;;;
0947/307-6;BBR, Neulußheim;17.05.2018 08:10;;761;7.22;8.1;78;;12.9;0.09;15.3;;;156;31.4;1.3;0.016;0.30;15.6;54.8;;4.6;;139;4.52;;2.2
0947/307-6;BBR, Neulußheim;20.08.2018 13:50;;750;7.35;5;51;;15.8;;;;0.02;;;;;;;49;;;;;;;
